priority_rank,brand_name,slug,company_type,sales_relevance,forex_broker,primary_domain,regulators,legal_entity_count,license_count,research_tools,identity_status,needs_review,classification_reason
,10MINITZ GLOBAL,10minitz-global,Investment Firm / Dealer,LOW,NO,,FSC Mauritius,1,1,,CANONICAL,YES,"The regulatory licence identifies an investment firm or investment dealer, but broker relevance is not confirmed."
,26 Degrees Global Markets (EU) Ltd (ex Invast Financial Services (EU) Ltd),26-degrees-global-markets-eu-ltd-ex-invast-financial-services-eu-ltd,Investment Firm / Dealer,LOW,NO,26degreesglobalmarkets.com.cy,CySEC,1,1,,CANONICAL,NO,"The regulatory licence identifies an investment firm or investment dealer, but broker relevance is not confirmed."
198,26 DEGREES GLOBAL MARKETS PTY LTD,26-degrees-global-markets-pty-ltd,Forex / CFD Broker,MEDIUM,YES,,ASIC,1,1,,CANONICAL,NO,At least one imported source classifies this profile as a forex or CFD broker.
199,369 Trading Ltd,369-trading-ltd,Forex / CFD Broker,MEDIUM,YES,,FSC Mauritius,1,1,,CANONICAL,YES,At least one imported source classifies this profile as a forex or CFD broker.
,3D Global Financial Services Ltd,3d-global-financial-services-ltd,Investment Firm / Dealer,LOW,NO,3dglobal.com,CySEC,1,1,,CANONICAL,NO,"The regulatory licence identifies an investment firm or investment dealer, but broker relevance is not confirmed."
,50KCY Ltd (ex 50CoinsCY Ltd) (ex UR Trade Fix Ltd),50kcy-ltd-ex-50coinscy-ltd-ex-ur-trade-fix-ltd,Investment Firm / Dealer,LOW,NO,50coins.com,CySEC,1,1,,CANONICAL,YES,"The regulatory licence identifies an investment firm or investment dealer, but broker relevance is not confirmed."
200,62 CONSULTING PTY LTD,62-consulting-pty-ltd,Forex / CFD Broker,MEDIUM,YES,,ASIC,1,1,,CANONICAL,YES,At least one imported source classifies this profile as a forex or CFD broker.
,6i Trade Mauritius Limited,6i-trade-mauritius-limited,Investment Firm / Dealer,LOW,NO,,FSC Mauritius,1,1,,CANONICAL,YES,"The regulatory licence identifies an investment firm or investment dealer, but broker relevance is not confirmed."
,7 Street Corporation,7-street-corporation,Investment Firm / Dealer,LOW,NO,,FSC Mauritius,1,1,,CANONICAL,YES,"The regulatory licence identifies an investment firm or investment dealer, but broker relevance is not confirmed."
,7Q Financial Services Ltd,7q-financial-services-ltd,Investment Firm / Dealer,LOW,NO,7qfs.com,CySEC,1,1,,CANONICAL,NO,"The regulatory licence identifies an investment firm or investment dealer, but broker relevance is not confirmed."
,8tech Ltd,8tech-ltd,Investment Firm / Dealer,LOW,NO,,FSC Mauritius,1,1,,CANONICAL,YES,"The regulatory licence identifies an investment firm or investment dealer, but broker relevance is not confirmed."
,9Cents,9cents,Investment Firm / Dealer,LOW,NO,,FSC Mauritius,1,1,,CANONICAL,YES,"The regulatory licence identifies an investment firm or investment dealer, but broker relevance is not confirmed."
201,9X markets,9x-markets,Forex / CFD Broker,MEDIUM,YES,,FSC Mauritius,1,1,,CANONICAL,YES,At least one imported source classifies this profile as a forex or CFD broker.
,A-Finances Investment Corporation,a-finances-investment-corporation,Investment Firm / Dealer,LOW,NO,,FSC Mauritius,1,1,,CANONICAL,YES,"The regulatory licence identifies an investment firm or investment dealer, but broker relevance is not confirmed."
,A. Eternity Capital Management Ltd,a-eternity-capital-management-ltd,Investment Firm / Dealer,LOW,NO,a-eternitycapital.ltd.cy,CySEC,1,1,,CANONICAL,YES,"The regulatory licence identifies an investment firm or investment dealer, but broker relevance is not confirmed."
