broker_name,website,profile_slug,action,match_method,reported_regulator_count,research_tool_vendors,needs_review
ATFX,https://www.atfx.com/pt/,atfx,MERGED,EXACT_OR_SUBDOMAIN,16,Trading Central,YES
Plus500,https://www.plus500.com,plus500,MERGED,EXACT_OR_SUBDOMAIN,16,,NO
Axi,https://www.axi.com/int,axi,ADDED,NEW_PROFILE,12,Autochartist,YES
B2BROKER,https://b2broker.com/,b2broker,ADDED,NEW_PROFILE,10,,YES
CFI,https://en.cfi.trade/,cfi-financial-group,MERGED,EXACT_OR_SUBDOMAIN,14,Trading Central,NO
EC markets,https://www.ecmarkets.com/,ec-markets,ADDED,NEW_PROFILE,5,Acuity Trading,YES
eToro,https://www.etoro.com/,etoro,MERGED,EXACT_OR_SUBDOMAIN,16,,NO
Exness,https://www.exness.com/a/11817674,exness,MERGED,EXACT_OR_SUBDOMAIN,12,,NO
TRADE NATION,https://tradenation.com/,trade-nation,ADDED,NEW_PROFILE,5,,YES
XM,https://www.xm.com,xm-group,MERGED,EXACT_OR_SUBDOMAIN,13,Trading Central,YES
AvaTrade,https://www.avatrade.com,avatrade,MERGED,EXACT_OR_SUBDOMAIN,14,Trading Central,NO
capital.com,https://capital.com,capital-com,ADDED,NEW_PROFILE_AMBIGUOUS_EXISTING,12,,YES
DBG MARKETS,https://www.dbgmarketsglobal.com/,dbg-markets,ADDED,NEW_PROFILE,3,Autochartist|Trading Central,YES
doto,https://doto.com/,doto-europe-ltd-ex-vasby-capital-markets-ltd,MERGED,EXACT_OR_SUBDOMAIN,10,Trading Central,NO
easyMarkets,https://www.easymarkets.com/,easymarkets,MERGED,EXACT_OR_SUBDOMAIN,11,,YES
Finalto,https://www.finaltotrading.com/,finalto,ADDED,NEW_PROFILE,12,,YES
FOREX.com,https://www.forex.com/,forex-com,MERGED,EXACT_OR_SUBDOMAIN,12,,YES
Fortrade,https://www.fortrade.com/,fortrade,MERGED,EXACT_OR_SUBDOMAIN,11,,NO
FXCM,https://www.fxcm.com,fxcm,MERGED,EXACT_NAME_OR_LEGAL_ENTITY,11,,NO
FxPro,https://www.fxpro.com/,fxpro,MERGED,EXACT_OR_SUBDOMAIN,11,Trading Central,NO
GO Markets,https://www.gomarkets.com/en/,go-markets-ltd-ex-galactus-ltd,MERGED,EXACT_OR_SUBDOMAIN,11,,NO
HFM,https://www.hfm.com/,hfm,ADDED,NEW_PROFILE,11,Autochartist,YES
IC,https://www.icmarkets.sc/en/,ic,ADDED,NEW_PROFILE,11,Trading Central,YES
IG,https://www.ig.com/en,ig,MERGED,EXACT_OR_SUBDOMAIN,4,,NO
InterStellar,https://www.fisg.com/,interstellar,ADDED,NEW_PROFILE,9,,YES
IronFX,https://www.ironfx.co.uk/en,ironfx,MERGED,EXACT_NAME_OR_LEGAL_ENTITY,13,,YES
Mitrade,https://www.mitrade.com,mitrade,ADDED,NEW_PROFILE,11,Trading Central,YES
MONETA MARKETS,https://www.monetamarkets.com,moneta-markets,MERGED,EXACT_OR_SUBDOMAIN,5,,NO
PU Prime,https://www.puprime.com/,pu-prime,ADDED,NEW_PROFILE,4,Autochartist|Trading Central,YES
SBCFX,https://www.sbcfx.vip,sbcfx,ADDED,NEW_PROFILE,3,Trading Central,YES
STARTRADER,https://www.startrader.com,startrader,ADDED,NEW_PROFILE,4,,YES
Tickmill,https://www.tickmill.com/,tickmill-europe-ltd,MERGED,EXACT_OR_SUBDOMAIN,10,Acuity Trading,NO
TRADING 212,https://www.trading212.com/en,trading-212-markets-ltd,MERGED,EXACT_OR_SUBDOMAIN,11,,YES
VELOCITY TRADE,https://velocitytrade.com/,velocity-trade,ADDED,NEW_PROFILE,6,,YES
XS,https://xs.com/,xs,ADDED,NEW_PROFILE,3,,YES
ACCM,https://accmfx.com/,accm,ADDED,NEW_PROFILE,4,Autochartist|Trading Central,YES
ACY Securities,https://acy.com,acy-securities,ADDED,NEW_PROFILE,2,,YES
admiral,https://admiralmarkets.com/,admiral-markets-admirals,MERGED,EXACT_OR_SUBDOMAIN,10,,YES
amana,https://amana.app/,amana,ADDED,NEW_PROFILE,11,,YES
AUS Global,https://www.ausglobaluk.com/,aus-global,ADDED,NEW_PROFILE,3,Trading Central,YES
AXPM,https://axpmprime.com,axpm,ADDED,NEW_PROFILE,2,,YES
