legal_name,company_number,country,regulator,jurisdiction,license_number,license_type,status,source_status,license_date,termination_date,approved_domains,source_url,first_seen,last_seen,forex_broker,classification_confidence,classification_reason,evidence_url,evidence_status,needs_review
ABF Trade EU Limited (ex X Global Markets Ltd),291958 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,171/12,Cyprus Investment Firm,ACTIVE,Current investment firm,15/06/2012,,abftrade.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),YES,HIGH,"FX/CFD/prop evidence: forex, currency pairs, cfd trading",https://abftrade.com/eu/en,FETCHED,NO
Accuindex EU Ltd,360650 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,340/17,Cyprus Investment Firm,ACTIVE,Current investment firm,23/10/2017,,accuindex.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),YES,HIGH,"FX/CFD/prop evidence: forex, fx trading, cfd trading",https://accuindex.eu,FETCHED,NO
APME FX Trading Europe Ltd,347219 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,335/17,Cyprus Investment Firm,ACTIVE,Current investment firm,10/08/2017,,apmefx.com; monestia.com; ozios.com; oziotrader.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),YES,HIGH,"FX/CFD/prop evidence: forex, fx trading, cfd trading",https://apmefx.com,FETCHED,NO
Argus Stockbrokers Ltd,108270 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,010/03,Cyprus Investment Firm,ACTIVE,Current investment firm,12/05/2003,,argus.com.cy; argusglobaltrader.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),YES,MEDIUM,"FX/CFD/prop evidence: forex, leverage",https://argus.com.cy,FETCHED,NO
ATFX Global Markets (Cy) Ltd,340674 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,285/15,Cyprus Investment Firm,ACTIVE,Current investment firm,17/12/2015,,atfx.eu; atfxconnect.com; atfxgm.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),YES,HIGH,"FX/CFD/prop evidence: forex, foreign exchange trading, metatrader",https://atfxgm.eu/en/,FETCHED,NO
B2B Prime Services EU Ltd,357630 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,370/18,Cyprus Investment Firm,ACTIVE,Current investment firm,05/11/2018,,b2prime.com; menasecurities.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),YES,HIGH,"FX/CFD/prop evidence: forex, trade cfds, metatrader",https://b2prime.com,FETCHED,NO
Broctagon Prime Ltd,360194 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,320/17,Cyprus Investment Firm,ACTIVE,Current investment firm,20/04/2017,,broctagonprime.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),YES,HIGH,"FX/CFD/prop evidence: forex, mt4, leverage",https://broctagonprime.com,FETCHED,NO
Capital Com Group Ltd,ΗΕ 446198 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,463/25,Cyprus Investment Firm,ACTIVE,Current investment firm,10/11/2025,,capital.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),YES,HIGH,"FX/CFD/prop evidence: forex, cfd trading, trade cfds",https://capital.com/en-eu,FETCHED,NO
Capital Com SV Investments Ltd,354252 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,319/17,Cyprus Investment Firm,ACTIVE,Current investment firm,07/04/2017,,capital.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),YES,HIGH,"FX/CFD/prop evidence: forex, cfd trading, trade cfds",https://capital.com/en-eu,FETCHED,NO
CDJ Social Stocks Ltd,HE427157 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,428/23,Cyprus Investment Firm,ACTIVE,Current investment firm,20/03/2023,,goliaths.io,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),Mon Aug 17 2026 14:40:31 GMT+0300 (Eastern European Summer Time),YES,HIGH,"FX/CFD/prop evidence: forex, copy trading",https://goliaths.io,FETCHED,NO
