legal_name,company_number,country,regulator,jurisdiction,license_number,license_type,status,source_status,license_date,termination_date,approved_domains,source_url,first_seen,last_seen
26 Degrees Global Markets (EU) Ltd (ex Invast Financial Services (EU) Ltd),HE 427102 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,435/23,Cyprus Investment Firm,ACTIVE,Current investment firm,04/09/2023,,26degreesglobalmarkets.com.cy,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
3D Global Financial Services Ltd,86659 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,063/06,Cyprus Investment Firm,ACTIVE,Current investment firm,29/03/2006,,3dglobal.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
4XHUB EU Limited,419115 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,437/23,Cyprus Investment Firm,SURRENDER_PENDING,Under examination for voluntary renunciation,18/09/2023,,4xhub.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
50KCY Ltd (ex 50CoinsCY Ltd) (ex UR Trade Fix Ltd),336677 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,282/15,Cyprus Investment Firm,ACTIVE,Current investment firm,28/09/2015,,50coins.com; 50k.trade,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
7Q Financial Services Ltd,109709 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,061/05,Cyprus Investment Firm,ACTIVE,Current investment firm,04/11/2005,,7qfs.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
A. Eternity Capital Management Ltd,368071 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,346/17,Cyprus Investment Firm,ACTIVE,Current investment firm,11/12/2017,,a-eternitycapital.ltd.cy,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
A.A.M. & Wealth Ltd,304450 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,222/14,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,16/01/2014,28/03/2017,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
A.J.K. Wealth Management Ltd,277477 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,139/11,Cyprus Investment Firm,ACTIVE,Current investment firm,19/04/2011,,ajkwealth.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
A.T.I. Associates (Cyprus) Ltd,123897 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,091/08,Cyprus Investment Firm,ACTIVE,Current investment firm,02/07/2008,,atiassociates.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
AAA Trade Ltd,322745 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,244/14,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,25/07/2014,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
