priority_rank,brand_name,slug,verification_status,reported_regulators,verified_regulators,unresolved_regulators,official_license_count,fca_api_audit,fsca_search_audit,last_verified
1,ActivTrades,activtrades,VERIFIED,FCA,FCA,,1,"[{""query"": ""ActivTrades Plc"", ""outcome"": ""verified"", ""result_count"": 2, ""accepted_frns"": ""434413""}]",[],2026-09-04T11:45:08+00:00
2,Admiral Markets (Admirals),admiral-markets-admirals,VERIFIED,FCA,FCA,,1,"[{""query"": ""Admirals UK Ltd"", ""outcome"": ""no exact authorised match"", ""result_count"": 0, ""accepted_frns"": """"}, {""query"": ""Admiral Markets UK Ltd"", ""outcome"": ""verified"", ""result_count"": 1, ""accepted_frns"": ""595450""}]",[],2026-09-04T11:45:08+00:00
3,ATFX,atfx,VERIFIED,ASIC | CySEC | FCA | FSC Mauritius | FSCA,ASIC | CySEC | FCA | FSC Mauritius | FSCA,,6,"[{""query"": ""AT Global Markets (UK) Limited"", ""outcome"": ""verified"", ""result_count"": 1, ""accepted_frns"": ""760555""}]","[{""slug"": ""atfx"", ""query"": ""ATFX"", ""result_count"": 0, ""accepted_fsp_numbers"": []}, {""slug"": ""atfx"", ""query"": ""AT Global"", ""result_count"": 2, ""accepted_fsp_numbers"": [""44816"", ""55142""]}, {""slug"": ""atfx"", ""query"": ""AT Global Markets"", ""result_count"": 1, ""accepted_fsp_numbers"": [""44816""]}]",2026-09-04T11:45:08+00:00
4,AvaTrade,avatrade,VERIFIED,ASIC | CySEC | FSCA,ASIC | CySEC | FSCA,,3,[],"[{""slug"": ""avatrade"", ""query"": ""Ava Capital Markets"", ""result_count"": 1, ""accepted_fsp_numbers"": [""45984""]}]",2026-09-04T11:45:08+00:00
5,CFI Financial Group,cfi-financial-group,VERIFIED,CySEC | FCA | FSC Mauritius | FSCA,CySEC | FCA | FSC Mauritius | FSCA,,4,"[{""query"": ""Credit Financier Invest Limited"", ""outcome"": ""verified"", ""result_count"": 2, ""accepted_frns"": ""828955""}]","[{""slug"": ""cfi-financial-group"", ""query"": ""CFI"", ""result_count"": 4, ""accepted_fsp_numbers"": [""53711""]}]",2026-09-04T11:45:08+00:00
6,easyMarkets,easymarkets,VERIFIED,ASIC | CySEC,ASIC | CySEC,,2,[],[],2026-09-04T11:45:08+00:00
7,eToro,etoro,VERIFIED,ASIC | CySEC | FCA,ASIC | CySEC | FCA,,3,"[{""query"": ""eToro UK Ltd"", ""outcome"": ""verified"", ""result_count"": 2, ""accepted_frns"": ""583263""}]",[],2026-09-04T11:45:08+00:00
8,Exness,exness,PARTIAL,CySEC | FCA | FSC Mauritius | FSCA,CySEC | FCA | FSCA,FSC Mauritius,3,"[{""query"": ""Exness (UK) Ltd"", ""outcome"": ""verified"", ""result_count"": 1, ""accepted_frns"": ""730729""}]","[{""slug"": ""exness"", ""query"": ""Exness"", ""result_count"": 1, ""accepted_fsp_numbers"": [""51024""]}]",2026-09-04T11:45:08+00:00
9,Fortrade,fortrade,VERIFIED,ASIC | CySEC | FCA,ASIC | CySEC | FCA,,3,"[{""query"": ""Fortrade Limited"", ""outcome"": ""verified"", ""result_count"": 8, ""accepted_frns"": ""609970""}]",[],2026-09-04T11:45:08+00:00
10,FP Markets,fp-markets,PARTIAL,ASIC | CySEC | FSC Mauritius | FSCA,ASIC | CySEC | FSCA,FSC Mauritius,3,[],"[{""slug"": ""fp-markets"", ""query"": ""FP Markets"", ""result_count"": 1, ""accepted_fsp_numbers"": [""50926""]}]",2026-09-04T11:45:08+00:00
11,Fusion Markets,fusion-markets,VERIFIED,ASIC | CySEC,ASIC | CySEC,,3,[],[],2026-09-04T11:45:08+00:00
12,FXCM,fxcm,VERIFIED,ASIC | CySEC | FCA | FSCA,ASIC | CySEC | FCA | FSCA,,4,"[{""query"": ""Stratos Markets Limited"", ""outcome"": ""verified"", ""result_count"": 1, ""accepted_frns"": ""217689""}]","[{""slug"": ""fxcm"", ""query"": ""Stratos South Africa"", ""result_count"": 1, ""accepted_fsp_numbers"": [""46534""]}]",2026-09-04T11:45:08+00:00
13,FxPro,fxpro,VERIFIED,CySEC | FCA,CySEC | FCA,,2,"[{""query"": ""FxPro UK Limited"", ""outcome"": ""verified"", ""result_count"": 2, ""accepted_frns"": ""509956""}]",[],2026-09-04T11:45:08+00:00
14,Hantec Financial (Hantec Markets Asia),hantec-financial-hantec-markets-asia,PARTIAL,ASIC | FCA | FSC Mauritius,ASIC | FCA,FSC Mauritius,2,"[{""query"": ""Hantec Markets Limited"", ""outcome"": ""verified"", ""result_count"": 1, ""accepted_frns"": ""502635""}]",[],2026-09-04T11:45:08+00:00
15,HYCM,hycm,PARTIAL,CySEC | FCA,FCA,CySEC,1,"[{""query"": ""Henyep Capital Markets (UK) Limited"", ""outcome"": ""no exact authorised match"", ""result_count"": 1, ""accepted_frns"": """"}, {""query"": ""HYCM Capital Markets (UK) Limited"", ""outcome"": ""verified"", ""result_count"": 1, ""accepted_frns"": ""186171""}]",[],2026-09-04T11:45:08+00:00
16,IronFX,ironfx,VERIFIED,CySEC | FCA | FSCA,CySEC | FCA | FSCA,,3,"[{""query"": ""Notesco UK Limited"", ""outcome"": ""verified"", ""result_count"": 1, ""accepted_frns"": ""585561""}]","[{""slug"": ""ironfx"", ""query"": ""IronFX"", ""result_count"": 1, ""accepted_fsp_numbers"": [""45276""]}]",2026-09-04T11:45:08+00:00
17,Markets.com,markets-com,PARTIAL,ASIC | CySEC | FCA | FSC Mauritius | FSCA,CySEC | FCA | FSCA,ASIC | FSC Mauritius,3,"[{""query"": ""Markets.com"", ""outcome"": ""no exact authorised match"", ""result_count"": 20, ""accepted_frns"": """"}, {""query"": ""Finalto Financial Services Limited"", ""outcome"": ""verified"", ""result_count"": 1, ""accepted_frns"": ""481853""}]","[{""slug"": ""markets-com"", ""query"": ""Markets South Africa"", ""result_count"": 5, ""accepted_fsp_numbers"": [""46860""]}]",2026-09-04T11:45:08+00:00
18,Moneta Markets,moneta-markets,VERIFIED,FCA | FSC Mauritius | FSCA,FCA | FSC Mauritius | FSCA,,3,"[{""query"": ""Moneta Markets Capital Ltd"", ""outcome"": ""verified"", ""result_count"": 1, ""accepted_frns"": ""613381""}]","[{""slug"": ""moneta-markets"", ""query"": ""Moneta Markets"", ""result_count"": 1, ""accepted_fsp_numbers"": [""47490""]}]",2026-09-04T11:45:08+00:00
19,NAGA,naga,VERIFIED,CySEC,CySEC,,1,[],[],2026-09-04T11:45:08+00:00
20,Vantage (Vantage Markets),vantage-vantage-markets,VERIFIED,ASIC | FCA | FSCA,ASIC | FCA | FSCA,,3,"[{""query"": ""Vantage Global Prime LLP"", ""outcome"": ""verified"", ""result_count"": 2, ""accepted_frns"": ""590299""}]","[{""slug"": ""vantage-vantage-markets"", ""query"": ""Vantage"", ""result_count"": 27, ""accepted_fsp_numbers"": [""51268""]}]",2026-09-04T11:45:08+00:00
21,VT Markets,vt-markets,VERIFIED,ASIC | FSC Mauritius | FSCA,ASIC | FSC Mauritius | FSCA,,3,[],"[{""slug"": ""vt-markets"", ""query"": ""VT Markets"", ""result_count"": 1, ""accepted_fsp_numbers"": [""50865""]}]",2026-09-04T11:45:08+00:00
22,Doto Europe Ltd (Ex Vasby Capital Markets Ltd),doto-europe-ltd-ex-vasby-capital-markets-ltd,PARTIAL,CySEC | FSC Mauritius | FSCA,CySEC | FSCA,FSC Mauritius,2,[],"[{""slug"": ""doto-europe-ltd-ex-vasby-capital-markets-ltd"", ""query"": ""Doto"", ""result_count"": 1, ""accepted_fsp_numbers"": [""50451""]}]",2026-09-04T11:45:08+00:00
23,Plus500,plus500,VERIFIED,ASIC | CySEC | FCA,ASIC | CySEC | FCA,,3,"[{""query"": ""Plus500UK Ltd"", ""outcome"": ""verified"", ""result_count"": 1, ""accepted_frns"": ""509909""}]",[],2026-09-04T11:45:08+00:00
24,Just2Trade,just2trade,VERIFIED,CySEC,CySEC,,1,[],[],2026-09-04T11:45:08+00:00
25,Windsor Brokers,windsor-brokers,UNVERIFIED,CySEC,,CySEC,0,[],[],2026-09-04T11:45:08+00:00
