"rank","broker","domain","official_count","official_regs","reported_regs","legal_entities"
"1","CFI Financial Group","cfi.trade","1","CySEC","AFM|ASF|CBAR|CNMV|FCA|FSA Denmark|FSA Seychelles|FSC Mauritius|FSCA|FSMA|KNF|MFSA|VFSC","Credit Financier Invest (CFI) Ltd"
"2","eToro","etoro.com","1","CySEC","ADGM|AFM|ASF|ASIC|Australian Securities and Investments Commission (ASIC)|CNMV|Cyprus Securities and Exchange Commission (CySEC)|FCA|FIN-FSA|Financial Conduct Authority (FCA)|FINRA|FMA|FSA Denmark|FSA Seychelles|FSMA|KNF|MAS|MFSA|Securities and Exchange Commission (SEC), Financial Industry Regulatory Authority (FINRA)","Etoro (Europe) Ltd|eToro AUS Capital Ltd.|eToro USA LLC"
"3","Fortrade","fortrade.com","1","CySEC","AFM|ASF|ASIC|CIRO|CNMV|FCA|FIN-FSA|FMA|FSA Denmark|MFSA","Fortrade Cyprus Ltd"
"4","FP Markets","fpmarkets.com","1","CySEC","AFM|ASF|ASIC|Australian Securities and Investments Commission (ASIC)|CNMV|Cyprus Securities and Exchange Commission (CySEC)|FIN-FSA|Financial Sector Conduct Authority (South Africa)|Financial Services Authority (Seychelles)|Financial Services Authority (St. Vincent and the Grenadines)|Financial Services Commission (Mauritius)|FMA|FSA Denmark|KNF|MFSA","First Prudential Markets Limited|First Prudential Markets Ltd|First Prudential Markets Pty Ltd|FP Markets (Pty) Ltd|FP Markets LLC"
"5","Fusion Markets","fusionmarkets.com","1","CySEC","ASIC|Australian Securities and Investments Commission (ASIC)|Financial Services Authority of Seychelles (FSA)|FSA Seychelles|Vanuatu Financial Services Commission (VFSC)","Fusion Markets EU Ltd|Fusion Markets International Ltd|Gleneagle Asset Management Pty Limited|Gleneagle Securities Pty Limited"
"6","FXCM","fxcm.com","1","CySEC","AFM|ASF|ASIC|CNMV|CySEC|FCA|FIN-FSA|FMA|FSA Denmark|FSCA|KNF|MFSA|N/A","Forex Capital Markets Limited - Stratos Markets Limited|FXCM Australia Pty. Limited - Stratos Trading Pty. Limited|FXCM EU LTD - Stratos Europe Limited|FXCM Markets Limited - Stratos Global LLC|FXCM South Africa Pty. Limited - Stratos South Africa (Pty) Ltd|Stratos Europe Ltd (ex FXCM EU LTD)"
"7","FxPro","fxpro.com","1","CySEC","AFM|ASF|CNMV|FCA|FIN-FSA|FSA Denmark|FSA Seychelles|FSMA|KNF|MFSA","FXPRO Financial Services Ltd"
"8","Markets.com","markets.com","1","CySEC","AFM|ASF|ASIC|CNMV|Cyprus Securities and Exchange Commission (CySEC)|FCA|FIN-FSA|Financial Sector Conduct Authority (FSCA)|FMA|FSA Denmark|FSC Mauritius|FSCA|FSMA|KNF|MFSA|St. Vincent and the Grenadines Financial Services Authority (SVG)","Markets International Ltd.|Markets South Africa (Pty) Ltd|Safecap Investments Ltd"
"9","NAGA","naga.com","1","CySEC","AFM|ASF|CNMV|FIN-FSA|FMA|FSA Denmark|FSA Seychelles|KNF|MFSA","Naga Markets Europe Ltd"
"10","Doto Europe Ltd (Ex Vasby Capital Markets Ltd)","doto.com","1","CySEC","AFM|ASF|CNMV|FIN-FSA|FMA|FSA Denmark|FSA Seychelles|FSC Mauritius|FSCA","Doto Europe Ltd (Ex Vasby Capital Markets Ltd)"
"11","Plus500","plus500.com","1","CySEC","AFM|ASF|ASIC|BAPPEBTI|CIRO|CNMV|DFSA|FCA|FMA|FSA Denmark|FSA Seychelles|KNF|MAS|MFSA|SCB","Plus500CY Ltd"
"12","Just2Trade","j2t.com","1","CySEC","FIN-FSA|FSMA|KNF","J2T Services Ltd (ex Lime Trading (CY) Ltd)"
"13","ActivTrades","activtrades.com","0","","Comissão do Mercado de Valores Mobiliários (CMVM)|FCA|Financial Conduct Authority (FCA)|SCB|The Securities Commission of the Bahamas","ActivTrades|ActivTrades Corp|ActivTrades Plc"
