REGISTER_NAME,AFS_LIC_NUM,AFS_LIC_NAME,AFS_LIC_ABN_ACN,AFS_LIC_START_DT,AFS_LIC_PRE_FSR,AFS_LIC_ADD_LOCAL,AFS_LIC_ADD_STATE,AFS_LIC_ADD_PCODE,AFS_LIC_ADD_COUNTRY,AFS_LIC_CONDITION
"AFS Licence","218600","IPIB PTY LTD","85007186003","02/05/2002","""General insurance broker"",""000030366""","SOUTHBANK","VIC","3006","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide financial product advice for the following classes of financial products:""~""(i) general insurance products; and""~""(b) deal in a financial product by:""~""(i) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) general insurance products;""~""to retail and wholesale clients."""
"AFS Licence","218678","IMC PACIFIC PTY LTD","89099273846","26/04/2002","","SYDNEY","NSW","2000","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) deal in a financial product by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:""~""(A) derivatives; and""~""(B) foreign exchange contracts; and""~""(b) make a market for the following financial products:""~""(i) foreign exchange contracts;""~""(ii) derivatives; and""~""(iii) limited to financial products other than:""~""(A) derivatives;""~""(B) foreign exchange contracts; and""~""(C) debentures, stocks or bonds issued or proposed to be issued by a government and/or debentures issued by any other body;""~""to wholesale clients."""
"AFS Licence","218770","TRILOGY GROUP AUSTRALIA PTY LTD","80078111654","22/08/2002","""Futures broker"",""000169201""","TOORADIN","VIC","3980","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide general financial product advice to retail clients for the following classes of financial products:""~""(i) deposit and payment products limited to:""~""(A) basic deposit products;""~""(B) deposit products other than basic deposit products;""~""(ii) derivatives;""~""(iii) foreign exchange contracts restricted to foreign exchange contracts utilised for the management of financial risk (hedging) which only have the purposes of:""~""(A) management or mitigation of the financial consequences of particular circumstances happening; or""~""(B) avoiding or limiting the financial consequences of fluctuations in the rate of exchange of foreign currency;""~""(iv) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(v) life products including:""~""(A) investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and""~""(B) life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;""~""(vi) interests in managed investment schemes including:""~""(A) investor directed portfolio services;""~""(vii) retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);""~""(viii securities;""~""(ix) standard margin lending facility; and""~""(x) superannuation; and""~""(b) provide financial product advice to wholesale clients for the following classes of financial products:""~""(i) deposit and payment products limited to:""~""(A) basic deposit products;""~""(B) deposit products other than basic deposit products;""~""(ii) derivatives;""~""(iii) foreign exchange contracts restricted to foreign exchange contracts utilised for the management of financial risk (hedging) which only have the purposes of:""~""(A) management or mitigation of the financial consequences of particular circumstances happening; or""~""(B) avoiding or limiting the financial consequences of fluctuations in the rate of exchange of foreign currency;""~""(iv) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(v) life products including:""~""(A) investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and""~""(B) life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;""~""(vi) interests in managed investment schemes including:""~""(A) investor directed portfolio services;""~""(vii) retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);""~""(viii securities;""~""(ix) standard margin lending facility; and""~""(x) superannuation;""~""(c) deal in a financial product to retail and wholesale clients by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:""~""(A) derivatives; and""~""(B) interests in managed investment schemes limited to:""~""(1) own managed investment scheme only; and""~""(ii) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) deposit and payment products limited to:""~""(1) basic deposit products;""~""(2) deposit products other than basic deposit products;""~""(B) derivatives;""~""(C) foreign exchange contracts restricted to foreign exchange contracts utilised for the management of financial risk (hedging) which only have the purposes of:""~""(1) management or mitigation of the financial consequences of particular circumstances happening; or""~""(2) avoiding or limiting the financial consequences of fluctuations in the rate of exchange of foreign currency""~""(D) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(E) life products including:""~""(1) investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and""~""(2) life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;""~""(F) interests in managed investment schemes including:""~""(1) investor directed portfolio services;""~""(G) retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);""~""(H) securities;""~""(I) standard margin lending facility; and""~""(J) superannuation; and""~""(d) provide the following custodial or depository services to retail and wholesale clients:""~""(i) operate custodial or depository services other than investor directed portfolio services."""
"AFS Licence","219140","HAWKESBRIDGE CAPITAL PTY LIMITED","96091160879","13/06/2002","","SYDNEY","NSW","2000","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide financial product advice for the following classes of financial products:""~""(i) interests in managed investment schemes; and""~""(ii) securities; and""~""(b) deal in a financial product by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:""~""(A) interests in managed investment schemes; and""~""(B) securities; and""~""(ii) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) interests in managed investment schemes; and""~""(B) securities;""~""to wholesale clients."""
"AFS Licence","219195","HAYES STERLING PTY. LIMITED","31008207181","31/05/2002","""Securities dealer"",""000010783""","BALWYN","VIC","3103","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide financial product advice for the following classes of financial products:""~""(i) deposit and payment products limited to:""~""(A) basic deposit products;""~""(B) deposit products other than basic deposit products;""~""(ii) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(iii) life products including:""~""(A) investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and""~""(B) life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;""~""(iv) interests in managed investment schemes including:""~""(A) investor directed portfolio services;""~""(v) retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);""~""(vi) securities;""~""(vii) standard margin lending facility; and""~""(viii superannuation; and""~""(b) deal in a financial product by:""~""(i) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) deposit and payment products limited to:""~""(1) basic deposit products;""~""(2) deposit products other than basic deposit products;""~""(B) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(C) life products including:""~""(1) investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and""~""(2) life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;""~""(D) interests in managed investment schemes including:""~""(1) investor directed portfolio services;""~""(E) retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);""~""(F) securities;""~""(G) standard margin lending facility; and""~""(H) superannuation;""~""to retail and wholesale clients."""
"AFS Licence","219326","TOWNSHEND CAPITAL PTY LTD","52099900188","11/09/2002","","NORTH FREMANTLE","WA","6159","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide financial product advice for the following classes of financial products:""~""(i) deposit and payment products limited to:""~""(A) basic deposit products;""~""(B) deposit products other than basic deposit products;""~""(ii) derivatives;""~""(iii) interests in managed investment schemes including:""~""(A) investor directed portfolio services; and""~""(iv) securities; and""~""(b) deal in a financial product by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:""~""(A) interests in managed investment schemes excluding investor directed portfolio services; and""~""(B) securities;""~""(ii) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) deposit and payment products limited to:""~""(1) basic deposit products;""~""(2) deposit products other than basic deposit products;""~""(B) derivatives;""~""(C) interests in managed investment schemes including:""~""(1) investor directed portfolio services; and""~""(D) securities; and""~""(iii) underwriting:""~""(A) interests in managed investment schemes; and""~""(B) an issue of securities;""~""to wholesale clients."""
"AFS Licence","219431","ODYSSEY EQUITY FINANCE PTY. LTD.","24096603799","04/06/2002","","SOUTH MELBOURNE","VIC","3205","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide general financial product advice only, for the following classes of financial products:""~""(i) securities;""~""to wholesale clients."""
"AFS Licence","219462","PENGANA INVESTMENT MANAGEMENT LIMITED","69063081612","05/06/2002","""Securities dealer"",""000072624""","SYDNEY","NSW","2000","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide general financial product advice for the following classes of financial products:""~""(i) interests in managed investment schemes limited to:""~""(A) own managed investment scheme only;""~""(b) deal in a financial product by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:""~""(A) derivatives;""~""(B) foreign exchange contracts;""~""(C) interests in managed investment schemes limited to:""~""(1) own managed investment scheme only;""~""(D) securities; and""~""(E) superannuation; and""~""(ii) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) derivatives;""~""(B) foreign exchange contracts; and""~""(C) securities; and""~""(c) operate the following kinds of registered managed investment schemes (including the holding of any incidental property) in its capacity as responsible entity:""~""(i) schemes which only hold the following types of property:""~""(A) financial assets;""~""to retail and wholesale clients."""
"AFS Licence","219582","VIRTU ITG AUSTRALIA LIMITED","46003067409","01/07/2002","""Securities dealer"",""000011597""","SYDNEY","NSW","2000","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) deal in a financial product by:""~""(i) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) derivatives limited to:""~""(1) old law securities options contracts and warrants;""~""(B) interests in managed investment schemes excluding investor directed portfolio services; and""~""(C) securities;""~""to retail clients (limited to employees and officers of the licensee) and wholesale clients."""
"AFS Licence","219612","RELI CAPITAL LTD","80005443292","07/06/2002","""Securities dealer"",""000192962""","LEONGATHA","VIC","3953","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) deal in a financial product by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:""~""(A) interests in managed investment schemes limited to:""~""(1) own managed investment scheme only; and""~""(b) operate the following kinds of registered managed investment schemes (including the holding of any incidental property) in its capacity as responsible entity:""~""(i) ""Gippsreal Mortgage Investment Scheme"" scheme (ARSN: 091 849 482),""~""(A) a scheme which only holds the following types of property:""~""(1) mortgages;""~""to retail and wholesale clients."""
