broker_name,reason,review_url,source_category,sales_target,needs_review,last_checked
Binomo,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Negative Binomo news on Stanford blog | - Warning on CySEC's website",https://cyber.fsi.stanford.edu/io/news/binomo-trading-scam,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
ExpertOption,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Multiple negative ExpertOption reviews on Quora & other blogs",https://www.quora.com/Is-ExpertOption-a-scam-broker-Can-I-really-make-money-with-them,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Hugo's Way,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - The majority of Trustpilot Hugo's Way reviews are negative",https://www.trustpilot.com/review/hugosway.com,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
OlympTrade,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC",https://brokerchooser.com/broker-reviews/not-recommended/olymptrade,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Pocket Option,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - PocketOption is on the CFTC RED list.",https://www.cftc.gov/node/241216,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Videforex,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - The majority of Trustpilot Videforex reviews are negative",https://www.trustpilot.com/review/videforex.com,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
IGM Holdings,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - IGM Holdings is on the FCA & finma warning lists",https://www.fca.org.uk/news/warnings/igm-holdings,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
TradelightFX,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC",,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
fxtrading247,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC",,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
HBC Market,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - HBC Market is on the finma warning list",https://www.finma.ch/en/finma-public/warning-list/hbc-market/,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
GFX Royal,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - The majority of Trustpilot FX Royal reviews are negative",https://www.trustpilot.com/review/gfxroyal.com,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Unique Finance,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Unique Finance is on the finma warning list",https://www.finma.ch/en/finma-public/warning-list/unique-finance/,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
123 Trade,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC",,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
BIGFX,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - The majority of Trustpilot BIGFX reviews are negative",https://uk.trustpilot.com/review/bigfx.net,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
