legal_name,regulator_code,regulator,jurisdiction,license_number,license_type,status,license_date,approved_domains,forex_broker,classification_confidence,classification_reason,evidence_url,evidence_status,needs_review,source_url,last_checked
26 DEGREES GLOBAL MARKETS PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,438283,Australian Financial Services Licence,ACTIVE,25/06/2013,,YES,MEDIUM,AFS licence authorises retail FX issuance/market-making and the legal name indicates trading activity,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,NO,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
62 CONSULTING PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,548573,Australian Financial Services Licence,ACTIVE,06/07/2023,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
ACY SECURITIES PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,403863,Australian Financial Services Licence,ACTIVE,11/07/2011,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AFMOOM TRADING PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,549100,Australian Financial Services Licence,ACTIVE,12/12/2023,,YES,MEDIUM,AFS licence authorises retail FX issuance/market-making and the legal name indicates trading activity,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,NO,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AFRICHANGE AUSTRALIA PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,558201,Australian Financial Services Licence,ACTIVE,23/10/2024,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AFT AU PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,554582,Australian Financial Services Licence,ACTIVE,06/01/2025,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AGRISK MANAGEMENT PTY LIMITED,ASIC,Australian Securities and Investments Commission,Australia,223688,Australian Financial Services Licence,ACTIVE,06/12/2002,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AIA AUSTRALIA LIMITED,ASIC,Australian Securities and Investments Commission,Australia,230043,Australian Financial Services Licence,ACTIVE,01/07/2003,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AIMS CAPITAL MANAGEMENT LIMITED,ASIC,Australian Securities and Investments Commission,Australia,302051,Australian Financial Services Licence,ACTIVE,08/03/2007,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AIMS INVESTMENT MANAGERS LTD.,ASIC,Australian Securities and Investments Commission,Australia,225357,Australian Financial Services Licence,ACTIVE,15/05/2003,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AIPRIME PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,558610,Australian Financial Services Licence,ACTIVE,16/11/2024,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AIRWALLEX PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,487221,Australian Financial Services Licence,ACTIVE,05/09/2016,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
ALLIANCEBERNSTEIN AUSTRALIA LIMITED,ASIC,Australian Securities and Investments Commission,Australia,230698,Australian Financial Services Licence,ACTIVE,30/09/2003,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
ALPHA SECURITIES PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,330757,Australian Financial Services Licence,ACTIVE,06/11/2008,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
ALPHASTREAM MARKETS PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,562911,Australian Financial Services Licence,ACTIVE,27/05/2026,,YES,MEDIUM,AFS licence authorises retail FX issuance/market-making and the legal name indicates trading activity,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,NO,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AMAL FUND SERVICES LTD,ASIC,Australian Securities and Investments Commission,Australia,542056,Australian Financial Services Licence,ACTIVE,03/10/2023,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AMPLUS GLOBAL PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,505929,Australian Financial Services Licence,ACTIVE,07/08/2018,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
ANADARA CAPITAL PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,297950,Australian Financial Services Licence,ACTIVE,20/04/2006,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
ANTARES CAPITAL PARTNERS LTD,ASIC,Australian Securities and Investments Commission,Australia,234483,Australian Financial Services Licence,ACTIVE,12/11/2003,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
APT WEALTH PARTNERS PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,436121,Australian Financial Services Licence,ACTIVE,09/04/2013,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
APTIXLAB PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,429711,Australian Financial Services Licence,ACTIVE,25/01/2013,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AQR PTY LIMITED,ASIC,Australian Securities and Investments Commission,Australia,305603,Australian Financial Services Licence,ACTIVE,21/11/2006,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
ARENA REIT MANAGEMENT LIMITED,ASIC,Australian Securities and Investments Commission,Australia,465754,Australian Financial Services Licence,ACTIVE,16/12/2014,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
ARRIVEE AU PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,569655,Australian Financial Services Licence,ACTIVE,27/03/2026,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AT GLOBAL MARKETS (AUSTRALIA) PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,418036,Australian Financial Services Licence,ACTIVE,02/05/2012,,YES,MEDIUM,AFS licence authorises retail FX issuance/market-making and the legal name indicates trading activity,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,NO,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
ATTUNGA CAPITAL PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,297385,Australian Financial Services Licence,ACTIVE,29/05/2006,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AUGS MARKETS PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,374686,Australian Financial Services Licence,ACTIVE,09/08/2011,,YES,MEDIUM,AFS licence authorises retail FX issuance/market-making and the legal name indicates trading activity,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,NO,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
AURIC INTERNATIONAL MARKETS (AU) PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,526125,Australian Financial Services Licence,ACTIVE,06/09/2022,,YES,MEDIUM,AFS licence authorises retail FX issuance/market-making and the legal name indicates trading activity,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,NO,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
